ID,h:m:s,d:m:s,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,10-2arcsec/yr,mag,mag,mag,%,h:m:s,d:m:s
169,02 38 23.38,+42 34 31.0,-0.24,0.4,0.06,0.05,14.51,0.67,0.56,0,02 41 36.73,+42 47 18.6
170,02 38 23.51,+42 29 06.4,-0.3,0.75,0.07,0.09,15.12,0.92,0.87,0,02 41 36.74,+42 41 54.0
171,02 38 23.77,+42 46 52.9,-0.03,0.17,0.04,0.03,13.99,0.79,0.4,3,02 41 37.41,+42 59 40.5
172,02 38 23.93,+42 44 35.0,-0.06,0.37,0.28,0.12,15.71,1.15,1.12,3,02 41 37.52,+42 57 22.6
173,02 38 24.11,+42 21 28.3,1.65,-0.41,0.17,0.23,16.08,     ,     ,0,02 41 37.16,+42 34 15.9
174,02 38 24.63,+42 42 56.2,0.21,1.02,0.25,0.29,16.03,     ,     ,0,02 41 38.18,+42 55 43.7
175,02 38 24.67,+42 32 00.2,-0.28,0.24,0.25,0.15,16,0.68,0.64,3,02 41 37.97,+42 44 47.7
176,02 38 24.80,+42 41 09.3,-0.11,0.57,0.32,0.09,15.83,     ,     ,0,02 41 38.31,+42 53 56.8
177,02 38 24.82,+42 31 17.7,0.04,-0.07,0.03,0.04,14,0.79,0.74,93,02 41 38.10,+42 44 05.2
178,02 38 25.24,+42 35 50.4,-0.01,0.92,0.07,0.08,14.84,0.67,0.63,0,02 41 38.63,+42 48 37.9
179,02 38 25.26,+42 26 17.7,-0.01,0.05,0.01,0.02,13.61,0.68,0.72,95,02 41 38.43,+42 39 05.2
180,02 38 25.46,+42 26 24.5,-0.12,0.25,0.08,0.06,14.65,0.51,0.06,0,02 41 38.63,+42 39 12.0
181,02 38 25.70,+42 31 27.6,-1.23,0.29,0.33,0.24,16.3,     ,     ,0,02 41 38.99,+42 44 15.1
182,02 38 25.82,+42 47 28.1,2.42,-1.03,0.27,0.43,15.06,     ,     ,0,02 41 39.48,+43 00 15.6
183,02 38 25.90,+42 47 34.2,-0.18,0.5,0.04,0.05,10.63,     ,     ,0,02 41 39.56,+43 00 21.7
184,02 38 26.18,+42 39 58.5,-0.04,-0.03,0.04,0.05,10.43,0.24,0.01,99,02 41 39.67,+42 52 46.0
185,02 38 26.71,+42 24 35.1,0.58,0.67,0.1,0.06,15.11,     ,     ,0,02 41 39.84,+42 37 22.5
186,02 38 26.73,+42 29 33.7,-0.08,0.41,0.03,0.03,11.26,1,1.03,0,02 41 39.98,+42 42 21.1
187,02 38 26.86,+42 43 40.7,0.04,0.01,0.29,0.15,15.62,0.69,0.63,47,02 41 40.44,+42 56 28.1
188,02 38 26.91,+42 25 00.3,0.07,0.4,0.05,0.07,14.6,0.88,0.94,0,02 41 40.06,+42 37 47.7
189,02 38 26.99,+42 38 24.7,0.18,0.5,0.13,0.1,15.15,0.59,0.56,0,02 41 40.45,+42 51 12.1
190,02 38 27.23,+42 42 00.5,0.03,-0.01,0.01,0.01,13.08,0.65,0.59,99,02 41 40.77,+42 54 47.9
191,02 38 28.01,+42 33 31.4,0,-0.05,0.03,0.05,10.5,0.12,0.09,99,02 41 41.36,+42 46 18.8
192,02 38 28.18,+42 41 17.0,0.71,0.64,0.19,0.16,15.37,     ,     ,0,02 41 41.71,+42 54 04.4
193,02 38 28.23,+42 48 14.5,-0.16,0.08,0.27,0.1,15.1,0.72,0.71,8,02 41 41.92,+43 01 01.9
194,02 38 28.27,+42 45 10.6,-0.35,-0.08,0.29,0.15,15.64,1.27,1.09,6,02 41 41.89,+42 57 58.0
195,02 38 28.68,+42 22 57.3,0.96,0.41,0.07,0.05,15.01,     ,     ,0,02 41 41.78,+42 35 44.6
196,02 38 29.38,+42 22 59.9,-0.07,0.34,0.19,0.21,15.48,0.98,0.93,0,02 41 42.49,+42 35 47.2
197,02 38 29.83,+42 20 27.1,0.38,-0.18,0.29,0.14,15.71,0.98,1.23,5,02 41 42.88,+42 33 14.4
198,02 38 30.63,+42 27 45.7,3.02,-1.4,0.32,0.3,15.64,     ,     ,0,02 41 43.85,+42 40 33.0
199,02 38 30.79,+42 33 21.2,0.07,0.02,0.04,0.03,14.51,0.91,0.8,85,02 41 44.14,+42 46 08.4
200,02 38 30.80,+42 23 22.3,-0.07,-0.1,0.02,0.04,13.47,0.73,0.72,38,02 41 43.92,+42 36 09.5
201,02 38 30.90,+42 27 08.7,-0.42,-0.08,0.03,0.03,13.87,     ,     ,0,02 41 44.11,+42 39 55.9
202,02 38 31.02,+42 35 26.9,-0.02,0.88,0.3,0.33,16.1,0.47,0.57,0,02 41 44.42,+42 48 14.1
203,02 38 31.27,+42 20 06.3,-0.1,1.03,0.2,0.35,16.04,0.62,0.46,0,02 41 44.32,+42 32 53.5
204,02 38 31.60,+42 49 25.2,0.07,0.75,0.25,0.25,14.94,     ,     ,0,02 41 45.33,+43 02 12.4
205,02 38 31.87,+42 29 30.0,0.04,0.13,0.04,0.02,13.81,1.13,1.06,48,02 41 45.14,+42 42 17.2
206,02 38 32.07,+42 36 14.1,0.02,-0.02,0.01,0.01,12.55,0.52,0.49,99,02 41 45.49,+42 49 01.3
