  nI           xbv    nB    nR           bxbv    nV    X Position    Declination        RA    unk23    unk22    unk21    unk26    unk25    unk24       B       I    Sigma 1 R       binbvdev    Sigma 1 V    Sigma 1 I         bvdev      bv       R       V    Sigma 1 B       ID    Sigma 2 B              Q    Sigma 2 I    Sigma 2 R         mv    Sigma 2 V    Y Position
   1   0.455849        8     1    0.584416       14       1526.8          42.6766  40.7485    59.63       42        2     35.7       40       42  13.493  10.981        0.031    0.674584           0.01         0.025   0.803151      1.259  11.607  12.234        0.011      405        0.003    6.0417             0            0       3.87351         0.004         64.16
   1   0.457726       10     2    0.586685       12       1354.87         42.6979  40.282      7.69       41        2     52.5       41       42  13.395  11.09         0.02     0.562315           0.01         0.029   0.691274      1.149  11.636  12.246        0.01     10986        0.005    5.0483             0            0       3.88551         0.002       1872.73
   2   0.458666        0     2    0.587821        1       2312.49         42.5095  40.0128     3.07       40        2     34.1       30       42  99.999  11.891        0.022   87.1592             0.028        0.024  87.2883       87.747  12.124  12.252        9.999   504467        9.999    1.19295e+23        0            0       3.89151         0           2957.01
   2   0.461019        3     2    0.590672        2       1483.91         42.685   40.7642     3.41       43        2      6.1       41       42  12.725  11.673        0.019   -0.132672           0.018        0.019  -0.00301888    0.458  11.969  12.267        0.017   501231        0       -0.0347592          0            0       3.90651         0              1.76
   2   0.462591        2     2    0.592578        2       1903.06         42.5977  40.4188    40.52       41        2     51.7       35       42  12.381  11.577        0.022   -0.488578           0.022        0.025  -0.358591      0.104  11.766  12.277        0.018   502501        0       -2.62001            0            0       3.91651         0           1359.23
   1   0.46322         2     2    0.593342        2       -398.14         43.0233  40.0513    12.32       40        2     23.9        1       43  13.313  11.234        0.019    0.438658           0.019        0.035   0.56878       1.032  11.739  12.281        0.02    504122        0        3.99027            0            0       3.92051         0           2703.3
   2   0.463693        0     2    0.593915        2       2638.62         42.4507  40.1168    28.02       40        2      2.4       27       42  99.999  11.495        0.019   87.1211             0.022        0.025  87.2513       87.715  11.905  12.284        9.999   503908        9.999    1.18814e+23        0            0       3.92351         0           2563.6
   1   0.464165        2     2    0.594489        2       2171.67         42.545   40.3439    22.54       41        2     42.1       32       42  12.791  11.618        0.022   -0.090489           0.023        0.038   0.0398348     0.504  12.003  12.287        0.018   502808        0        0.318155           0            0       3.92651         0           1660.36
   2   0.465742        9     2    0.596405       14       1289.36         42.7131  40.3902    33.65       41        2     47.1       42       42  13.37   11.189        0.019    0.476595           0.011        0.026   0.607258      1.073  11.719  12.297        0.01      8702        0.001    4.31809            0            0       3.93651         0.002       1449.92
   1   0.470015        1     2    0.601603        1       1022.99         42.7759  40.9428    46.27       43        2     33.4       46       42  12.849  11.773        0.019   -0.0766025          0.02         0.035   0.0549854     0.525  12.036  12.324        0.035   500227        0        0.43693            0            0       3.96351         0           -705.46
   0   0.470332        1     1    0.601989        1       1195.87         42.7206  40.0089     2.14       40        2     14.1       43       42  13.587  99.999        0.027    0.659011           0.031        9.999   0.790668      1.261  11.615  12.326        0.023   504437        0        5.93778            9.999        0       3.96551         0           2929.03
  13   0.472079       12     9    0.604117       18        863.85         42.7957  40.4779    54.69       41        2     44.6       47       42  12.887  11.666        0.009   -0.0541174          0.009        0.009   0.0779207     0.55   11.997  12.337        0.009     6708        0.005    0.613811           0.009        0.004   3.97651         0.002       1094.93
  12   0.473512        8     8    0.605863       16       1010.44         42.7712  40.6156    27.75       42        2     16.5       46       42  12.857  11.717        0.011   -0.0948632          0.01         0.01    0.0374883     0.511  12.035  12.346        0.01      3456        0.008    0.29622            0.006        0.005   3.98551         0.005        564.71
   2   0.474149        8     8    0.60664        15       1824.77         42.6117  40.3866    32.78       41        2     42.2       36       42  12.897  11.703        0.011   -0.0596403          0.01         0.027   0.0728509     0.547  12.017  12.35         0.011     8868        0.004    0.573607           0            0.002   3.98951         0.002       1482.16
   2   0.474149        9     5    0.60664        14       1319.56         42.7137  40.6579    37.89       42        2     49.5       42       42  12.882  11.707        0.012   -0.0746403          0.01         0.019   0.0578509     0.532  12.025  12.35         0.01      2542        0.002    0.457429           0            0.001   3.98951         0.008        410.21
   2   0.474947        2     2    0.607613        2       2031.77         42.5853  40.9473    47.36       43        2      7         35       42  13.359  11.263        0.019    0.396387           0.018        0.019   0.529053      1.004  11.787  12.355        0.018   500239        0        3.65998            0            0       3.99451         0           -695.45
  10   0.476544        9     6    0.609561       15       1886.35         42.6062  40.6431    34.35       42        2     22.4       36       42  12.988  11.64         0.011    0.0134389          0.01         0.011   0.146456      0.623  12      12.365        0.01      3021        0.007    1.10248            0.015        0.005   4.00451         0.006        485.24
   2   0.48007         2     2    0.613864        2       1367.12         42.6939  40.2178    52.28       40        2     38.1       41       42  12.994  11.691        0.022   -0.00686377         0.022        0.026   0.12693       0.607  12.034  12.387        0.017   503230        0        0.963349           0            0       4.02651         0           2122.96
   2   0.484097        2     2    0.61878         2       -230.36         42.9992  40.3358    20.6        41        2     56.9       59       42  12.87   11.782        0.022   -0.16078            0.021        0.019  -0.0260971     0.458  12.103  12.412        0.019   502756        0       -0.227322           0            0       4.05151         0           1608.52
   2   0.484744        2     3    0.619569        2       2465.84         42.4919  40.4442    46.62       41        2     30.8       29       42  13.281  11.497        0.019    0.245431           0.021        0.025   0.380256      0.865  11.948  12.416        0.017   502410        0        2.54567            0            0       4.05551         0           1279.14
   2   0.484744        2     2    0.619569        2       -210.42         42.9947  40.3073    13.74       41        2     40.7       59       42  13.016  11.69         0.02    -0.0195689          0.019        0.019   0.115256      0.6    12.059  12.416        0.019   502874        0        0.875823           0            0       4.05551         0           1719.85
