  nI           xbv    nB    nR           bxbv    nV    X Position    Declination        RA    unk23    unk22    unk21    unk26    unk25    unk24       B       I    Sigma 1 R       binbvdev    Sigma 1 V    Sigma 1 I         bvdev      bv       R       V    Sigma 1 B       ID    Sigma 2 B              Q    Sigma 2 I    Sigma 2 R         mv    Sigma 2 V    Y Position
   1   0.379061        2     1    0.496976        1       -130.34         42.9796  40.3096    14.3        41        2     46.4       58       42  12.67   10.73         0.036    0.435024           0.026        0.031   0.552939      0.932  11.237  11.738        0.018   502865        0        3.91697            0            0       3.37751         0           1713.58
   1   0.379534        2     0    0.49747         2       1907.04         42.6059  40.804     12.96       43        2     21.1       36       42  12.659  10.699        9.999    0.42053            0.018        0.028   0.538466      0.918  99.999  11.741        0.019   501065        0        3.81031            0            9.999   3.38051         0           -140.78
   0   0.38722         2     1    0.505591        1        723.6          42.8187  40.3365    20.75       41        2      7.4       49       42  12.279  99.999        0.029   -0.0165909          0.023        9.999   0.10178       0.489  11.474  11.79         0.018   502786        0        0.855942           9.999        0       3.42951         0           1639.14
   1   0.388313        0     2    0.506759        1       2471.85         42.4833  40.1554    37.31       40        2     59.8       28       42  99.999  10.596        0.026   87.6952             0.029        0.027  87.8137       88.202  11.194  11.797        9.999   503671        9.999    1.26341e+23        0            0       3.43651         0           2406.35
   1   0.388625        2     1    0.507094        1       1982.97         42.5745  40.1096    26.29       40        2     28.2       34       42  12.331  11.127        0.037    0.0249062          0.031        0.032   0.143375      0.532  11.484  11.799        0.017   503916        0        1.18917            0            0       3.43851         0           2567.16
   3   0.390652        3     3    0.509271        2        932.85         42.7835  40.5124     2.97       42        2      0.6       47       42  12.075  11.489        0.017   -0.246271           0.018        0.015  -0.127652      0.263  11.661  11.812        0.015   502061        0.014   -0.98912            0.001        0.003   3.45151         0.004        963.22
   2   0.390808        2     1    0.509439        1        509.72         42.8579  40.2859     8.61       41        2     28.4       51       42  12.225  11.3          0.033   -0.0974387          0.025        0.018   0.0211924     0.412  11.572  11.813        0.019   502972        0        0.181068           0            0       3.45251         0           1828.06
   2   0.391742        2     2    0.510446        2       1268.31         42.7247  40.7142    51.4        42        2     28.9       43       42  12.237  11.296        0.021   -0.0924464          0.018        0.019   0.0262583     0.418  11.557  11.819        0.018   501401        0        0.223612           0            0       3.45851         0            189.85
   2   0.39252         2     1    0.511287        1        752.26         42.8076  40.1206    28.96       40        2     27.4       48       42  12.825  10.732        0.034    0.489713           0.025        0.023   0.60848       1.001  11.284  11.824        0.018   503774        0        4.34069            0            0       3.46351         0           2478.03
   2   0.393608        2     2    0.512467        2       2363.13         42.523   40.9666    51.99       43        2     22.8       31       42  12.386  11.153        0.022    0.0425335          0.018        0.019   0.161392      0.555  11.497  11.831        0.021   500136        0        1.3238             0            0       3.47051         0           -761.51
   2   0.401974        2     1    0.52164         2       1580.78         42.6665  40.7527     0.66       43        2     59.2       39       42  12.374  11.278        0.029   -0.0326397          0.018        0.019   0.0870262     0.489  11.607  11.885        0.018   501286        0        0.72978            0            0       3.52451         0             49.21
   2   0.402283        2     0    0.521982        2       2066.26         42.5755  40.7917    10.01       43        2     31.8       34       42  12.913  10.763        9.999    0.504018           0.019        0.02    0.623717      1.026  99.999  11.887        0.019   501130        0        4.46329            0            9.999   3.52651         0            -88.1
   2   0.40321         2     1    0.52301         1         28.44         42.9517  40.3966    35.19       41        2      6.2       57       42  12.413  11.242        0.033   -0.00301036         0.025        0.019   0.11679       0.52   11.561  11.893        0.02    502525        0        0.969703           0            0       3.53251         0           1381.99
   2   0.407529        1     1    0.527832        2        164.22         42.9187  40.1157    27.78       40        2      7.4       55       42  12.343  11.401        0.039   -0.105832           0.019        0.019   0.0144711     0.422  11.678  11.921        0.026   503770        0        0.121856           0            0       3.56051         0           2475.12
   2   0.409532        8     2    0.530084        1        718.25         42.8262  40.602     24.47       42        2     34.3       49       42  12.906  10.894        0.018    0.441916           0.019        0.018   0.562468      0.972  11.375  11.934        0.01    501749        0.009    3.96238            0            0       3.57351         0            608.6
   1   0.40984         6     1    0.530431        2       1898.96         42.6021  40.5701    16.81       42        2      7.7       36       42  12.591  11.163        0.03     0.124569           0.018        0.026   0.24516       0.655  11.559  11.936        0.011   501883        0.006    1.88375            0            0       3.57551         0            770.16
   4   0.411225        9     4    0.531995        3       1014.21         42.7677  40.4934    58.42       41        2      3.5       46       42  12.391  11.392        0.017   -0.0859952          0.015        0.013   0.0347747     0.446  11.672  11.945        0.009   502146        0.014    0.292156           0.013        0.005   3.58451         0.013       1039.63
   2   0.420606        2     2    0.542706        1       -551.68         43.0514  40.0164     3.95       40        2      5          3       43  12.454  11.383        0.019   -0.0947057          0.023        0.019   0.0273937     0.448  11.7    12.006        0.02    504302        0        0.22796            0            0       3.64551         0           2832.43
   2   0.420914        2     2    0.54306         2        404.49         42.8774  40.2719     5.25       41        2     38.7       52       42  12.44   11.449        0.019   -0.11106            0.018        0.017   0.0110862     0.432  11.75   12.008        0.02    503010        0        0.0906048          0            0       3.64751         0           1878.63
   2   0.424296        2     2    0.546971        2         73.73         42.9498  40.6764    42.33       42        2     59.2       56       42  12.613  11.392        0.02     0.0360289          0.019        0.018   0.158704      0.583  11.713  12.03         0.019   501502        0        1.267              0            0       3.66951         0            300.08
